HeapAlloc: 548528, HeapIdle: 65314816, HeapInuse: 1302528
HeapAlloc: 547168, HeapIdle: 65470464, HeapInuse: 1212416
HeapAlloc: 636936, HeapIdle: 65232896, HeapInuse: 1384448
HeapAlloc: 635576, HeapIdle: 65388544, HeapInuse: 1294336
HeapAlloc: 725896, HeapIdle: 65150976, HeapInuse: 1466368
HeapAlloc: 722040, HeapIdle: 65306624, HeapInuse: 1376256
HeapAlloc: 812360, HeapIdle: 65069056, HeapInuse: 1548288
HeapAlloc: 810448, HeapIdle: 65224704, HeapInuse: 1458176
HeapAlloc: 898272, HeapIdle: 64987136, HeapInuse: 1630208
HeapAlloc: 896912, HeapIdle: 65142784, HeapInuse: 1540096
HeapAlloc: 984184, HeapIdle: 64905216, HeapInuse: 1712128
HeapAlloc: 982824, HeapIdle: 65060864, HeapInuse: 1622016
HeapAlloc: 1070096, HeapIdle: 64823296, HeapInuse: 1794048
HeapAlloc: 1068736, HeapIdle: 64978944, HeapInuse: 1703936
HeapAlloc: 1156008, HeapIdle: 64741376, HeapInuse: 1875968
HeapAlloc: 1154648, HeapIdle: 64897024, HeapInuse: 1785856
HeapAlloc: 1241920, HeapIdle: 64659456, HeapInuse: 1957888
HeapAlloc: 1240560, HeapIdle: 64806912, HeapInuse: 1875968
HeapAlloc: 1327832, HeapIdle: 64577536, HeapInuse: 2039808
HeapAlloc: 1326472, HeapIdle: 64724992, HeapInuse: 1957888
HeapAlloc: 1413744, HeapIdle: 64487424, HeapInuse: 2129920
HeapAlloc: 1412384, HeapIdle: 64643072, HeapInuse: 2039808
HeapAlloc: 1499656, HeapIdle: 64405504, HeapInuse: 2211840
HeapAlloc: 1498296, HeapIdle: 64561152, HeapInuse: 2121728
HeapAlloc: 1585568, HeapIdle: 64315392, HeapInuse: 2301952
HeapAlloc: 1584208, HeapIdle: 64479232, HeapInuse: 2203648
HeapAlloc: 1671480, HeapIdle: 64233472, HeapInuse: 2383872
HeapAlloc: 1670120, HeapIdle: 64397312, HeapInuse: 2285568
HeapAlloc: 1757392, HeapIdle: 64151552, HeapInuse: 2465792
HeapAlloc: 1756032, HeapIdle: 64315392, HeapInuse: 2367488
HeapAlloc: 1843304, HeapIdle: 64069632, HeapInuse: 2547712
HeapAlloc: 1841944, HeapIdle: 64225280, HeapInuse: 2457600
HeapAlloc: 1929216, HeapIdle: 63987712, HeapInuse: 2629632
HeapAlloc: 1927856, HeapIdle: 64143360, HeapInuse: 2539520
HeapAlloc: 2015128, HeapIdle: 63905792, HeapInuse: 2711552
HeapAlloc: 2013768, HeapIdle: 64061440, HeapInuse: 2621440
HeapAlloc: 2101040, HeapIdle: 63823872, HeapInuse: 2793472
HeapAlloc: 2099680, HeapIdle: 63979520, HeapInuse: 2703360
HeapAlloc: 2186952, HeapIdle: 63733760, HeapInuse: 2883584
HeapAlloc: 2185592, HeapIdle: 63889408, HeapInuse: 2793472
HeapAlloc: 2272864, HeapIdle: 63651840, HeapInuse: 2965504
HeapAlloc: 2271504, HeapIdle: 63807488, HeapInuse: 2875392
HeapAlloc: 2358776, HeapIdle: 63569920, HeapInuse: 3047424
HeapAlloc: 2357416, HeapIdle: 63725568, HeapInuse: 2957312
HeapAlloc: 2444688, HeapIdle: 63488000, HeapInuse: 3129344
HeapAlloc: 2443328, HeapIdle: 63643648, HeapInuse: 3039232
HeapAlloc: 2530600, HeapIdle: 63406080, HeapInuse: 3211264
HeapAlloc: 2529240, HeapIdle: 63561728, HeapInuse: 3121152
HeapAlloc: 2616512, HeapIdle: 63315968, HeapInuse: 3301376
HeapAlloc: 2615152, HeapIdle: 63479808, HeapInuse: 3203072
HeapAlloc: 2702424, HeapIdle: 63234048, HeapInuse: 3383296
HeapAlloc: 2701064, HeapIdle: 63397888, HeapInuse: 3284992
HeapAlloc: 2788336, HeapIdle: 63152128, HeapInuse: 3465216
HeapAlloc: 2786976, HeapIdle: 63315968, HeapInuse: 3366912
HeapAlloc: 2874248, HeapIdle: 63070208, HeapInuse: 3547136
HeapAlloc: 2872888, HeapIdle: 63225856, HeapInuse: 3457024
HeapAlloc: 2960160, HeapIdle: 62988288, HeapInuse: 3629056
HeapAlloc: 2958800, HeapIdle: 63143936, HeapInuse: 3538944
HeapAlloc: 3046072, HeapIdle: 62906368, HeapInuse: 3710976
HeapAlloc: 3044712, HeapIdle: 63062016, HeapInuse: 3620864
HeapAlloc: 3131984, HeapIdle: 62824448, HeapInuse: 3792896
HeapAlloc: 3130624, HeapIdle: 62963712, HeapInuse: 3719168
HeapAlloc: 3217896, HeapIdle: 62742528, HeapInuse: 3874816
HeapAlloc: 3216536, HeapIdle: 62881792, HeapInuse: 3801088
HeapAlloc: 3303808, HeapIdle: 62660608, HeapInuse: 3956736
HeapAlloc: 3302448, HeapIdle: 62799872, HeapInuse: 3883008
HeapAlloc: 3389720, HeapIdle: 62570496, HeapInuse: 4046848
HeapAlloc: 3388360, HeapIdle: 62717952, HeapInuse: 3964928
HeapAlloc: 3475632, HeapIdle: 62480384, HeapInuse: 4136960
HeapAlloc: 3474272, HeapIdle: 62627840, HeapInuse: 4055040
HeapAlloc: 3561544, HeapIdle: 62398464, HeapInuse: 4218880
HeapAlloc: 3560184, HeapIdle: 62545920, HeapInuse: 4136960
HeapAlloc: 3647456, HeapIdle: 62308352, HeapInuse: 4308992
HeapAlloc: 3646096, HeapIdle: 62464000, HeapInuse: 4218880
HeapAlloc: 3733368, HeapIdle: 62226432, HeapInuse: 4390912
HeapAlloc: 3732008, HeapIdle: 62382080, HeapInuse: 4300800
HeapAlloc: 3819280, HeapIdle: 62144512, HeapInuse: 4472832
HeapAlloc: 3817920, HeapIdle: 62300160, HeapInuse: 4382720
HeapAlloc: 3905192, HeapIdle: 62062592, HeapInuse: 4554752
HeapAlloc: 3903832, HeapIdle: 62210048, HeapInuse: 4472832
HeapAlloc: 3991104, HeapIdle: 61980672, HeapInuse: 4636672
HeapAlloc: 3989744, HeapIdle: 62119936, HeapInuse: 4562944
HeapAlloc: 383280, HeapIdle: 65445888, HeapInuse: 1040384
HeapAlloc: 389312, HeapIdle: 65470464, HeapInuse: 983040
HeapAlloc: 479992, HeapIdle: 65404928, HeapInuse: 1146880
HeapAlloc: 476704, HeapIdle: 65429504, HeapInuse: 1089536
HeapAlloc: 566472, HeapIdle: 65323008, HeapInuse: 1228800
HeapAlloc: 563008, HeapIdle: 65331200, HeapInuse: 1187840
HeapAlloc: 652384, HeapIdle: 65241088, HeapInuse: 1310720
HeapAlloc: 648920, HeapIdle: 65249280, HeapInuse: 1269760
HeapAlloc: 738296, HeapIdle: 65159168, HeapInuse: 1392640
HeapAlloc: 734832, HeapIdle: 65167360, HeapInuse: 1351680
HeapAlloc: 826704, HeapIdle: 65069056, HeapInuse: 1482752
HeapAlloc: 821128, HeapIdle: 65085440, HeapInuse: 1433600
HeapAlloc: 913072, HeapIdle: 64987136, HeapInuse: 1564672
HeapAlloc: 907040, HeapIdle: 65003520, HeapInuse: 1515520
